slots,timeout,work_score,risk_p95_ms,error_rate,qualified
6,0.8,327949,1788.9733056000005,0.07491043259718731,no
6,1,313099,2006.3075072999995,0.06460971243212583,no
6,1.2,288661,2270.45039555,0.06385606839596712,no
7,0.8,346367,1825.4125364999998,0.07175825132805017,no
7,1,325175,2013.219436849999,0.06560836383591404,no
7,1.2,298987,2333.8466575,0.059416762517237216,no
9,0.8,326377,2120.756250399999,0.07235315268198607,no
9,1,313446,2293.4855322000003,0.0638139346363154,no
9,1.2,296708,2436.3397125999995,0.05554645793076344,no
